,symbol,label,translation
10418,yew,yew,taxus
10419,wheels,wheels,wielen
10420,wheelsWithinWheels,wheels within wheels,wielen binnen wielen
10421,wheelWithEyesOnRim,wheel with eyes on rim,wiel met ogen op velg
10422,wheelWithKnivesOrSpikesInIt,wheel with knives or spikes in it,wiel met messen of spikes erin
10423,wheelWithSixSpokes,wheel with six spokes,wiel met zes spaken
10424,whenDried,when dried,wanneer gedroogd
10425,whenGilded,when gilded,wanneer verguld
10426,whenIssuingFromTheMouthOfADyingPerson,when issuing from the mouth of a dying person,wanneer het uit de mond van een stervende komt
10427,whenLyingDown,when lying down,bij het liggen
10428,leaven,leaven,zuurdesem
10429,leek,leek,prei
10430,leek,Leek,Prei
10431,leftEye,left eye,linker oog
10432,leftHand,left hand,linkerhand
10433,leftSide,left side,linkerkant
10434,lent,Lent,Vastentijd
10435,leoZodiac,Leo (zodiac),Leeuw (sterrenbeeld)
10436,hexagonalNimbus,hexagonal nimbus,zeshoekige nimbus
10437,fourWings,four wings,vier vleugels
10438,g,G,G
10439,gabrielArchangel,"Gabriel, Archangel","Gabriël, Aartsengel"
10440,gadflyInsect,gadfly (insect),horzel (insect)
10441,gallows,gallows,galg
10442,gandhiMahatma,"Gandhi, Mahatma","Gandhi, Mahatma"
10443,gangesRiver,Ganges River,Ganges rivier
10444,gardener,gardener,hovenier
10445,gardenia,gardenia,gardenia
10446,gardenOrSmallDoubleDaisy,garden or small double daisy,tuin of klein dubbel madeliefje
10447,garland,garland,slinger
10448,garlandOfRoses,garland of roses,krans van rozen
10449,thimble,thimble,vingerhoed
10450,thinLips,thin lips,dunne lippen
10451,thirdEyeOfBuddha,third eye of Buddha,derde oog van Boeddha
10452,thirdEyeOfShiva,third eye of Shiva,derde oog van Shiva
10453,thirtyCoinsEspeciallySilver,thirty coins (especially silver),dertig munten (vooral zilver)
10454,thirtyOtterSkins,thirty otter skins,dertig otterhuiden
10455,thirtyPiecesOfSilver,thirty pieces of silver,dertig zilverstukken
10456,thomasTheApostleSt,"Thomas the Apostle, St.","Thomas de Apostel, St."
10457,thor,Thor,Thor
10458,thornBush,thorn bush,doornstruik
10459,thornLeaf,thorn leaf,doornblad
10460,thornlessRose,thornless rose,doornloze roos
10461,thread,thread,draad
10462,thread,Thread,Draad
10463,threadingPearls,threading pearls,parels rijgen
10464,threadWrappedThreeTimesAroundTheThumb,thread wrapped three times around the thumb,draad drie keer om de duim gewikkeld
10465,threeApplesOftenWithThreeRoses,three apples (often with three roses),drie appels (vaak met drie rozen)
10466,threeArrows,three arrows,drie pijlen
10467,threeBalls,three balls,drie ballen
10468,threeBaskets,three baskets,drie manden
10469,threeBooksWithPen,three books with pen,drie boeken met pen
10470,threeBranched,three-branched,drietakt
10471,threeCandlesJoined,three candles joined,drie kaarsen samengevoegd
10472,threeCaskets,three caskets,drie kisten
10473,threeCirclesInATriangularForm,three circles in a triangular form,drie cirkels in een driehoekige vorm
10474,threeCirclesMayBeInterlockingOrInATriangle,three circles (may be interlocking or in a triangle),drie cirkels (mogelijk in elkaar grijpend of in een driehoek)
10475,threeclawedDragon,threeclawed dragon,drieklauwige draak
10476,threeClawedDragon,three-clawed dragon,drieklauwige draak
10477,threeCoiledSerpents,three coiled serpents,drie opgerolde slangen
10478,threeColoredConvolvulus,three-colored convolvulus,driekleurige winde
10479,threeCrownsWithCross,three crowns with cross,drie kronen met kruis
10480,threeDays,three days,drie dagen
10481,threeDogs,three dogs,drie honden
10482,threeFingersInABlessing,three fingers in a blessing,drie vingers in een zegen
10483,threeFishesWithOneHead,three fishes with one head,drie vissen met één kop
10484,threeFishFormingAnEquilateralTriangle,three fish forming an equilateral triangle,drie vissen die een gelijkzijdige driehoek vormen
10485,threeFishWithOneHead,three fish with one head,drie vissen met één kop
10486,threeFlowersHeldInTheHand,three flowers held in the hand,drie bloemen in de hand gehouden
10487,threeFountains,three fountains,drie fonteinen
10488,franklinBenjamin,"Franklin, Benjamin","Franklin, Benjamin"
10489,fraternitySeal,Fraternity seal,Broederschap zegel
10490,fraternitySeal,Fraternity Seal,Broederschapszegel
10491,freeStandingColumn,free-standing column,vrijstaande kolom
10492,freezing,freezing,bevriezen
10493,fruitInABasket,fruit in a basket,fruit in een mand
10494,fruitInACornucopia,fruit in a cornucopia,fruit in een hoorn des overvloeds
10495,fuchsia,fuchsia,Fuchsia
10496,fullerSClub,fuller’s club,club van voller
10497,fullMoon,full moon,volle maan
10498,fullMoonAndTheSunSurroundedBy12Stars,full moon and the sun surrounded by 12 stars,volle maan en de zon omringd door 12 sterren
10499,fullSail,full sail,vol zeil
10500,fullThickHeadOfHair,"full, thick head of hair","volle, dikke bos haar"
10501,wine,wine,wijn
10502,treeAndPruningHook,tree and pruning hook,boom en snoeihaak
10503,treeOfAllSeeds,Tree of All Seeds,Boom van alle zaden
10504,treeOfMoons,tree of moons,boom van manen
10505,treeOfSuns,tree of suns,boom van zonnen
10506,treeOfSweetDew,Tree of Sweet Dew,Boom van zoete dauw
10507,treeOfTheSolarEagle,Tree of the Solar Eagle,Boom van de zonneadelaar
10508,treeStoneAndAltar,"tree, stone, and altar","boom, steen en altaar"
10509,treesWithIntertwiningBranches,trees with intertwining branches,bomen met verstrengelde takken
10510,treeTrunk,tree trunk,boomstam
10511,treeWith12BranchesWithStarsOnThem,tree with 12 branches with stars on them,boom met 12 takken met sterren erop
10512,treeWithASerpentEntwined,tree with a serpent entwined,boom met een verstrengelde slang
10513,treeWithBranchesThatDivideAndRejoinTwoTrunksWithOneRootOrTwoTreesWithJoiningBranches,"tree with branches that divide and rejoin, two trunks with one root, or two trees with joining branches","boom met takken die delen en weer samenkomen, twee stammen met één wortel, of twee bomen met verbindende takken"
10514,treeWithFourBranchesAndFourRoots,tree with four branches and four roots,boom met vier takken en vier wortels
10515,swordAndPalm,sword and palm,zwaard en handpalm
10516,swordAndPilgrimSStaffCrossedOrSwordWithAScallopShell,"sword and pilgrim’s staff crossed, or sword with a scallop shell","zwaard en pelgrimsstaf gekruist, of zwaard met een schelp"
10517,swordAndSandalsUnderARock,sword and sandals under a rock,zwaard en sandalen onder een rots
10518,swordAndSandalUnderARock,sword and sandal under a rock,zwaard en sandaal onder een rots
10519,swordAndScabbardCrossed,sword and scabbard crossed,zwaard en schede gekruist
10520,swordAndStaff,sword and staff,zwaard en staf
10521,swordAndTorchCrossed,sword and torch crossed,zwaard en fakkel gekruist
10522,swordAndTrumpet,sword and trumpet,zwaard en trompet
10523,swordAndWaterPitcher,sword and water pitcher,zwaard en waterkruik
10524,swordHangingOverWalledCityJerusalem,sword hanging over walled city ( Jerusalem),zwaard dat over de ommuurde stad hangt (Jeruzalem)
10525,swordHeldByThePoint,sword held by the point,zwaard vastgehouden door de punt
10526,swordOnABook,sword on a book,zwaard op een boek
10527,swordOrKnifeInTheHeadOrJustAHeadWound,"sword or knife in the head, or just a head wound","zwaard of mes in het hoofd, of gewoon een hoofdwond"
10528,swordWithAnAnvil,sword with an anvil,zwaard met een aambeeld
10529,swordWithBalancesScales,sword with balances (scales),zwaard met balansen (weegschalen)
10530,swordWithSerpentTwinedAroundIt,sword with serpent twined around it,zwaard met slang eromheen
10531,sycamore,sycamore,plataan
10532,flowerGardens,flower gardens,bloementuinen
10533,floweringAlmond,flowering almond,bloeiende amandel
10534,floweringCross,flowering cross,bloeiend kruis
10535,floweringRod,flowering rod,bloeiende staaf
10536,h,H,H
10537,hairBraidedInASpiral,hair braided in a spiral,haar in een spiraal gevlochten
10538,hairStandingOnEnd,hair standing on end,haar overeind
10539,halberd,halberd,hellebaard
10540,halfLionHalfMan,half-lion/half-man,half-leeuw/half-man
10541,halfManHalfBirdWithToesAndFingersReversed,half-man/half-bird with toes and fingers reversed,half mens/half vogel met tenen en vingers omgekeerd
10542,halfpheasantHalfPeacock,halfpheasant/half-peacock,halffazant/half pauw
10543,halfWhiteHalfblackPillarOrOneWhitePillarWithOneBlack,half-white/halfblack pillar or one white pillar with one black,halfwitte/halfzwarte pilaar of een witte pilaar met een zwarte
10544,halloween,Halloween,Halloween
10545,hamlet,Hamlet,Hamlet
10546,hammerAndAnvil,hammer and anvil,hamer en aambeeld
10547,hammerAndChisel,hammer and chisel,hamer en beitel
10548,handFlatOnTheBreast,hand flat on the breast,hand plat op de borst
10549,handOfFatima,Hand of Fatima,Hand van Fatima
10550,manna,manna,manna
10551,sharingFood,sharing food,eten delen
10552,roundHearth,round hearth,ronde haard
10553,roundHole,round hole,rond gat
10554,roundLoafOfBread,round loaf of bread,rond brood
10555,roundMirror,round mirror,ronde spiegel
10556,roundStones,round stones,ronde stenen
10557,roundTent,round tent,ronde tent
10558,roundTower,round tower,ronde toren
10559,roundTowerSurmountedByCrescent,round tower surmounted by crescent,ronde toren met daarboven halve maan
10560,rubbingTheFingertips,rubbing the fingertips,over de vingertoppen wrijven
10561,rubyChangingColor,ruby changing color,robijn veranderende kleur
10562,rubyRegainingColor,ruby regaining color,robijn krijgt weer kleur
10563,tauCrossOnTheEndOfAStaff,tau cross on the end of a staff,tau kruis op het einde van een staf
10564,taurus,Taurus,Stier
10565,tea,tea,thee
10566,teacher,teacher,onderwijzer
10567,teaPlantAndFlower,tea plant and flower,thee plant en bloem
10568,tearingItsVictimApart,tearing its victim apart,zijn slachtoffer uit elkaar scheuren
10569,tearsOfChildVictimsOfRainmakingSacrifices,tears of child victims of rainmaking sacrifices,tranen van kindslachtoffers van regenopofferingen
10570,tearsWeeping,tears (weeping),tranen (huilen)
10571,templeUnderConstruction,temple under construction,tempel in aanbouw
10572,templeWindBells,temple wind bells,tempel wind klokken
10573,tenDropsOfWinePouredOutOnPassover,ten drops of wine poured out on Passover,tien druppels wijn uitgegoten op Pesach
10574,tenHorns,ten horns,tien horens
10575,tenLeggedBear,ten-legged bear,tienpotige beer
10576,tennisBallY,tennis ball y,tennisbal ja
10577,tenPointAntlers,ten-point antlers,tienpunts gewei
10578,tenPointedStar,ten-pointed star,tienpuntige ster
10579,tenSuns,ten suns,tien zonnen
10580,tenSunsInATree,ten suns in a tree,tien zonnen in een boom
10581,tent,tent,tent
10582,tenWeekStock,ten week stock,tien weken voorraad
10583,garlic,garlic,knoflook
10584,garmentOfPalmLeaves,garment of palm leaves,kledingstuk van palmbladeren
10585,garuda,Garuda,Garoeda
10586,gauntlet,gauntlet,handschoen
10587,gavel,gavel,hamer
10588,gehenna,Gehenna,Gehenna
10589,gelatin,gelatin,gelatine
10590,ghostWithoutHandsOrFeetAndHisHeadTiedToThePommelOfASaddle,ghost without hands or feet and his head tied to the pommel of a saddle,geest zonder handen of voeten en zijn hoofd vastgebonden aan de knop van een zadel
10591,giantScorpionMen,giant scorpion men,gigantische schorpioen mannen
10592,giftsOnATree,gifts on a tree,cadeautjes aan een boom
10593,gillyflower,gillyflower,gillyflower
10594,ginseng,ginseng,ginseng
10595,giraffe,giraffe,Noordelijk giraffe
10596,giraffe,Giraffe,Giraffe
10597,girl,girl,meisje
10598,gladiolus,gladiolus,gladiool
10599,globeAmaranth,globe amaranth,wereldbol amarant
10600,washingInAStream,washing in a stream,wassen in een stroom
10601,washingInSacredWater,washing in sacred water,wassen in heilig water
10602,washingtonGeorge,"Washington, George","Washington, George"
10603,whiteAndGreen,white and green,wit en groen
10604,whiteArmor,white armor,wit pantser
10605,whiteAssRiddenBackwards,white ass ridden backwards,witte kont achteruit gereden
10606,whiteBannerWithRedCross,white banner with red cross,witte banier met rood kruis
10607,whiteBean,white bean,witte boon
10608,whiteBread,white bread,witbrood
10609,whiteBull,white bull,witte stier
10610,whiteBullBearingAMaidenToTheSea,white bull bearing a maiden to the sea,witte stier die een meisje naar de zee draagt
10611,whiteButterfly,white butterfly,witte vlinder
10612,whiteCane,white cane,witte stok
10613,whiteCanopy,white canopy,witte luifel
10614,whiteCat,white cat,witte kat
10615,whiteCatchfly,white catchfly,witte vangst
10616,whiteChildAndBlackChild,white child and black child,wit kind en zwart kind
10617,whiteChrysanthemum,white chrysanthemum,witte chrysanthem
10618,whiteClover,white clover,witte klaver
10619,whiteConch,white conch,witte schelp
10620,whiteCranes,white cranes,witte kraanvogels
10621,whiteCrow,white crow,witte kraai
10622,whiteCrown,white crown,witte kroon
10623,whiteCrownWithAStreamer,white crown with a streamer,witte kroon met een streamer
10624,whiteDittany,white dittany,witte deuntje
10625,whiteDog,white dog,witte hond
10626,whiteDogWithYellowEyesOrWithFourEyes,white dog with yellow eyes or with four eyes,witte hond met gele ogen of met vier ogen
10627,whiteDoveWithBlueWings,white dove with blue wings,witte duif met blauwe vleugels
10628,whiteDoveWithChangeableTints,white dove with changeable tints,witte duif met veranderlijke tinten
10629,whiteDress,white dress,witte jurk
10630,whiteDrops,white drops,witte druppels
10631,whitefeatherFan,whitefeather fan,witte veren fan
10632,whiteFillet,white fillet,witte filet
10633,whiteFox,white fox,witte vos
10634,whiteHabitWithBlackScapular,white habit with black scapular,witte gewoonte met zwart scapulier
10635,whiteHair,white hair,wit haar
10636,whiteHand,white hand,witte hand
10637,whiteHare,white hare,witte haas
10638,whiteHareAtTheVirginMarySFeet,white hare at the Virgin Mary’s feet,witte haas aan de voeten van de Maagd Maria
10639,whiteHollyhock,white hollyhock,witte stokroos
10640,whiteHouse,White House,Witte Huis
10641,whiteHyacinth,white hyacinth,witte hyacint
10642,whiteInConnectionWithDeath,white in connection with death,wit in verband met de dood
10643,whiteInConnectionWithMatrimony,white in connection with matrimony,wit in verband met huwelijk
10644,whiteIron,white iron,wit ijzer
10645,whiteJasmine,white jasmine,witte jasmijn
10646,whiteMiter,white miter,witte mijter
10647,whitenedSepulcher,whitened sepulcher,gewit graf
10648,whiteNoseOnAnActor,white nose on an actor,witte neus op een acteur
10649,whiteOx,white ox,witte os
10650,whitePebble,white pebble,witte kiezelsteen
10651,whitePillar,white pillar,witte pilaar
10652,whitePineCone,white pine cone,witte dennenappel
10653,whiteSpecksOnNails,white specks on nails,witte vlekjes op nagels
10654,whiteStairs,white stairs,witte trap
10655,whiteWall,White Wall,Witte muur
10656,leper,leper,melaatse
10657,lettuce,lettuce,sla
10658,levelTool,level (tool),niveau (gereedschap)
10659,leviathan,leviathan,Leviathan
10660,leviathan,Leviathan,Leviathan
10661,library,library,bibliotheek
10662,lionOfJudah,Lion of Judah,leeuw van Juda
10663,twinsWithSheWolf,twins with she-wolf,tweeling met wolvin
10664,twinWolves,twin wolves,tweeling wolven
10665,twirlingDisk,twirling disk,draaiende schijf
10666,twistedBelt,twisted belt,gedraaide riem
10667,twisting,twisting,draaien
10668,twoAltars,two altars,twee altaren
10669,twoAnimals,two animals,twee dieren
10670,twoArrowsPiercingTheBreastOrAHeart,two arrows piercing the breast or a heart,twee pijlen die de borst of een hart doorboren
10671,twoBlackJacks,two black jacks,twee zwarte boeren
10672,twoBranched,two-branched,tweetakt
10673,twoBrassMountains,two brass mountains,twee koperen bergen
10674,twoBurningTorches,two burning torches,twee brandende fakkels
10675,twoCandles,two candles,twee kaarsen
10676,twoCandlesJoined,two candles joined,twee kaarsen samengevoegd
10677,twoCaves,two caves,twee grotten
10678,twoCherubimOnAThrone,two cherubim on a throne,twee cherubs op een troon
10679,twoCirclesIntertwined,two circles intertwined,twee cirkels met elkaar verweven
10680,twoCobraHeadedHumans,two cobra-headed humans,twee mensen met een cobrakop
10681,twoCocksFightingOverAPineCone,two cocks fighting over a pine cone,twee hanen vechten om een dennenappel
10682,twoContendingDragonsFacingEachOther,two contending dragons facing each other,twee strijdende draken tegenover elkaar
10683,twoCrossedArrows,two crossed arrows,twee gekruiste pijlen
10684,twoCrowns,two crowns,twee kronen
10685,twoCrows,two crows,twee kraaien
10686,twoCuckoos,two cuckoos,twee koekoeken
10687,twoDogs,two dogs,twee honden
10688,twoDogsEspeciallyWithTwoRavens,"two dogs, especially with two ravens","twee honden, vooral met twee raven"
10689,twoDogsFighting,two dogs fighting,twee honden vechten
10690,twoDolphinsSwimmingInOppositeDirections,two dolphins swimming in opposite directions,twee dolfijnen die in tegengestelde richting zwemmen
10691,twoDolphinsSwimmingInTheSameDirection,two dolphins swimming in the same direction,twee dolfijnen die in dezelfde richting zwemmen
10692,twoDovesInADish,two doves in a dish,twee duiven in een schotel
10693,twoDovesOnACup,two doves on a cup,twee duiven op een kopje
10694,twoDragonsBackToBack,two dragons back to back,twee draken rug aan rug
10695,twoDragonsBitingEachOtherSTails,two dragons biting each other’s tails,twee draken die elkaars staart bijten
10696,twoEyesOneOpenedOneClosed,"two eyes, one opened, one closed","twee ogen, een geopend, een gesloten"
10697,twofacedGod,twofaced god,god met twee gezichten
10698,twoFenghuang,two Fenghuang,twee Fenghuang
10699,twoFingersRaised,two fingers raised,twee vingers omhoog
10700,twoFingersRaisedInBlessing,two fingers raised in blessing,twee vingers omhoog in zegen
10701,twoFireBreathingBulls,two fire-breathing bulls,twee vuurspuwende stieren
10702,twoGriffins,two griffins,twee griffioenen
10703,twoDragonsDrawingAChariot,two dragons drawing a chariot,twee draken die een strijdwagen trekken
10704,twoEdgedSwordBetweenASleepingManAndWoman,two-edged sword between a sleeping man and woman,tweesnijdend zwaard tussen een slapende man en vrouw
10705,twoEyesMayAppearWithCrabPincer,two eyes (may appear with crab pincer),twee ogen (kan verschijnen met een krabtang)
10706,twoEyesOnAPlatterOrCarried,"two eyes on a platter, or carried","twee ogen op een schaal, of gedragen"
10707,twoFaces,two faces,twee gezichten
10708,twoFishesTouchingNoseToTail,two fishes touching nose to tail,twee vissen die neus aan staart raken
10709,twoFishOnAHookWithAPitcher,"two fish on a hook, with a pitcher","twee vissen aan een haak, met een kruik"
10710,forgetMeNot,forget me not,vergeet me niet
10711,forgetMeNot,forget-me-not,vergeet me niet
10712,fourLeafClover,four leaf clover,Klavertje vier
10713,fourRiversOfParadise,four Rivers of Paradise,vier rivieren van het paradijs
10714,fourStags,four stags,vier herten
10715,fourteenSheaves,fourteen sheaves,veertien schoven
10716,foxfire,foxfire,Vos vuur
10717,windAndRain,wind and rain,wind en regen
10718,windBaptism,wind baptism,wind doop
10719,windingSheet,winding sheet,lijkwade
10720,windingStairs,winding stairs,wenteltrap
10721,windmillWithABalance,windmill with a balance,windmolen met een balans
10722,windmillWithShipAndFish,windmill with ship and fish,windmolen met schip en vis
10723,wineAndBread,wine and bread,wijn en brood
10724,wineAndWater,wine and water,wijn en water
10725,wineAsIntoxicant,wine as intoxicant,wijn als bedwelmend middel
10726,wingedAndBeardedManWithConch,winged and bearded man with conch,gevleugelde en bebaarde man met schelphoorn
10727,wingedAnimals,winged animals,gevleugelde dieren
10728,wingedBoar,winged boar,gevleugeld zwijn
10729,wingedBull,winged bull,gevleugelde stier
10730,wingedChild,winged child,gevleugeld kind
10731,wingedChildSHead,winged child’s head,gevleugeld kinderhoofd
10732,wingedDeacon,winged deacon,gevleugelde diaken
10733,wingedDragonWithEagleSLegs,winged dragon with eagle’s legs,gevleugelde draak met adelaarspoten
10734,wingedElephant,winged elephant,gevleugelde olifant
10735,wingedHand,winged hand,gevleugelde hand
10736,wingedHourglass,winged hourglass,gevleugelde zandloper
10737,wingedInfant,winged infant,gevleugelde baby
10738,wingedInfantSHead,winged infant’s head,gevleugeld kinderhoofdje
10739,wingedOrb,winged orb,gevleugelde bol
10740,wingedScroll,winged scroll,gevleugelde rol
10741,wingedSerpentWithEagleSLegs,winged serpent with eagle’s legs,gevleugelde slang met adelaarspoten
10742,wingedShoes,winged shoes,gevleugelde schoenen
10743,wingedShoesAndOrHat,winged shoes and/or hat,gevleugelde schoenen en/of hoed
10744,wingedSoldier,winged soldier,gevleugelde soldaat
10745,wingedStag,winged stag,gevleugeld hert
10746,wingedWheelsWithinWheels,winged wheels within wheels,gevleugelde wielen binnen wielen
10747,winglessDragon,wingless dragon,vleugelloze draak
10748,winglessSerpent,wingless serpent,vleugelloze slang
10749,fivePointedStar,five-pointed star,vijfpuntige ster
10750,withCrossOrSwords,with cross or swords,met kruis of zwaarden
10751,withDagger,with dagger,met dolk
10752,withDragonUnderfoot,with dragon underfoot,met draak onder de voet
10753,withEncirclingFightingDragons,with encircling fighting dragons,met omringende vechtende draken
10754,witheredPlant,withered plant,verdorde plant
10755,witheredTree,withered tree,verdorde boom
10756,witheredWhiteRose,withered white rose,verdorde witte roos
10757,witheringBayTree,withering bay tree,verwelkende laurierboom
10758,withFlamesAtHisFeet,with flames at his feet,met vlammen aan zijn voeten
10759,withHeartOrLily,with heart or lily,met hartje of lelie
10760,withInstrumentsOfThePassion,with instruments of the Passion,met instrumenten van de Passie
10761,withLily,with lily,met lelie
10762,withMartyrSPalm,with martyr’s palm,met martelaarspalm
10763,withMonstrance,with monstrance,met monstrans
10764,withPeepingTom,with Peeping Tom,met Peeping Tom
10765,withRobin,with robin,met roodborstje
10766,withRopeOnIt,with rope on it,met touw eraan
10767,withScroll,with scroll,met scroll
10768,withScrollAndBook,with scroll and book,met rol en boek
10769,withSerpentAroundIt,with serpent around it,met slang eromheen
10770,withSerpentAroundItAtTheFeetOfTheVirginMary,with serpent around it at  the  feet of the Virgin Mary,met slang eromheen aan de voeten van de Maagd Maria
10771,withSevenBlooms,with seven blooms,met zeven bloemen
10772,withSickle,with sickle,met sikkel
10773,withStaffAndGourd,with staff and gourd,met staf en kalebas
10774,withSword,with sword,met zwaard
10775,withSwordPiercingABook,with sword piercing a book,met zwaard een boek doorboren
10776,withSwordPiercingHisSkullOrHand,with sword piercing his skull or hand,met zwaard dat zijn schedel of hand doorboort
10777,withTheSleevesChestAndHemEmbroidered,"with the sleeves, chest, and hem embroidered","met de mouwen, borst en zoom geborduurd"
10778,withThreeChildrenInATub,with three children in a tub,met drie kinderen in een badkuip
10779,withTrianglesAtTheEndOfEachArm,with triangles at the end of each arm,met driehoeken aan het einde van elke arm
10780,withTrumpet,with trumpet,met trompet
10781,withWings,with wings,met vleugels
10782,wolfDevouringChildren,wolf devouring children,wolf verslindende kinderen
10783,wolfWithEagle,wolf with eagle,wolf met adelaar
10784,wolfWithHumanEyes,wolf with human eyes,wolf met menselijke ogen
10785,wolfWithLamb,wolf with lamb,wolf met lam
10786,wolfWithLion,wolf with lion,wolf met leeuw
10787,womanAndInfantInAChest,woman and infant in a chest,vrouw en kind in een kist
10788,womanAsCaptive,woman as captive,vrouw als gevangene
10789,womanBeingThreatenedByASoldierWithAnArrow,woman being threatened by a soldier with an arrow,vrouw wordt bedreigd door een soldaat met een pijl
10790,womanChainedToARockAttackedByAMonster,"woman chained to a rock, attacked by a monster","vrouw vastgeketend aan een rots, aangevallen door een monster"
10791,womanExpressingMilkFromHerBreasts,woman expressing milk from her breasts,vrouw die melk uit haar borsten kolft
10792,womanHammeringATentPegIntoASoldierSHead,woman hammering a tent peg into a soldier’s head,vrouw die een tentharing in het hoofd van een soldaat hamert
10793,womanHoldingABoatInHerHand,woman holding a boat in her hand,vrouw met een boot in haar hand
10794,womanInLinen,woman in linen,vrouw in linnen
10795,womanLooseningHerGirdle,woman loosening her girdle,vrouw die haar gordel losmaakt
10796,womanNursingAnOldMan,woman nursing an old man,vrouw die een oude man verzorgt
10797,womanNursingMoreThanOneChild,woman nursing more than one child,vrouw die meer dan één kind verzorgt
10798,torchCrossedWithASword,torch crossed with a sword,fakkel gekruist met een zwaard
10799,torchHeldByADog,torch held by a dog,fakkel vastgehouden door een hond
10800,torchHeldByAWomanTiedToAStake,torch held by a woman tied to a stake,fakkel vastgehouden door een vrouw vastgebonden aan een paal
10801,torchHeldInTheHand,torch held in the hand,fakkel in de hand gehouden
10802,torchInNativityScenes,torch in Nativity scenes,fakkel in kerststallen
10803,toriiGate,torii gate,torii poort
10804,torrentialRain,torrential rain,stortregens
10805,tortoiseAndCrane,tortoise and crane,schildpad en kraanvogel
10806,tortoiseshellCat,tortoiseshell cat,schildpad kat
10807,tortoiseWithAFlamingTail,tortoise with a flaming tail,schildpad met vlammende staart
10808,tossingHairClippingsOverboardDuringAStorm,tossing hair clippings overboard during a storm,haarknipsels overboord gooien tijdens een storm
10809,tossingNailClippingsOverboardDuringAStorm,tossing nail clippings overboard during a storm,nagelknipsels overboord gooien tijdens een storm
10810,totem,totem,totem
10811,touch,touch,aanraking
10812,touch,Touch,Aanraken
10813,touchingOrKnockingOnWood,touching or knocking on wood,aanraken of kloppen op hout
10814,touchingTheHemOfSomeoneSGarment,touching the hem of someone’s garment,de zoom van iemands kledingstuk aanraken
10815,touchingWood,touching wood,hout aanraken
10816,yewWreath,yew wreath,taxus krans
10817,yggdrasil,Yggdrasil,Yggdrasil
10818,noahSArk,Noah’s ark,De ark van Noah
10819,noahSArk,Noah’s Ark,de ark van Noah
10820,noahSRaven,Noah’s raven,De raaf van Noach
10821,noddingTheHead,nodding the head,hoofd knikken
10822,noose,noose,strop
10823,nordic,Nordic,Noords
10824,northAmerican,North American,Noord Amerikaan
10825,northernCardinal,Northern cardinal,Noordelijke kardinaal
10826,northernMockingbird,Northern mockingbird,Noordelijke spotvogel
10827,northStar,North Star,Poolster
10828,northWind,North wind,noordenwind
10829,nuditasCriminalis,nuditas criminalis,nuditas criminalis
10830,nuditasTemporalis,nuditas temporalis,nuditas temporalis
10831,nuditasVirtualis,nuditas virtualis,nuditas virtualis
10832,number,number,getal
10833,o,O,O
10834,oakAndMistletoe,oak and mistletoe,eik en maretak
10835,oakLeaf,oak leaf,eikenblad
10836,oakLeafAndAcornWreath,oak leaf and acorn wreath,eikenblad en eikelkrans
10837,oakWreath,oak wreath,eiken krans
10838,willowBasket,willow basket,wilgen mandje
10839,willowSwitch,willow switch,wilgen schakelaar
10840,wimple,wimple,kap
10841,fieryChariot,fiery chariot,vurige strijdwagen
10842,fieryChariotAndHorses,fiery chariot and horses,vurige wagen en paarden
10843,fierySerpent,fiery serpent,vurige slang
10844,figLeaf,fig leaf,Vijgenblad
10845,figTreeAndVine,fig tree and vine,vijgenboom en wijnstok
10846,filledBowl,filled bowl,gevulde kom
10847,fineLinen,fine linen,fijn linnen
10848,fingerAndThumbOfBuddhaSHandTouchingEachOther,finger and thumb of Buddha’s hand touching each other,vinger en duim van Boeddha&#39;s hand raken elkaar aan
10849,fingerOnTheMouth,finger on the mouth,vinger op de mond
10850,fingerSnapping,finger snapping,vinger knippen
10851,fingerToTheMouth,finger to the mouth,vinger naar de mond
10852,fireElement,fire element,vuur element
10853,westernTribes,western tribes,westerse stammen
10854,wetHair,wet hair,nat haar
10855,wheatAndTares,wheat and tares,tarwe en onkruid
10856,wheatEar,wheat ear,tarwe oor
10857,wheatStack,wheat stack,tarwe stapel
10858,wheatWithVine,wheat with vine,tarwe met wijnstok
10859,timbrel,timbrel,tamboerijn
10860,time,time,tijd
10861,tiresias,Tiresias,Tiresias
10862,tisiphone,Tisiphone,Tisiphone
10863,titans,Titans,Titanen
10864,toadAsASteed,toad as a steed,pad als ros
10865,toadEatingFemaleGenitalia,toad eating female genitalia,pad die vrouwelijke geslachtsdelen eet
10866,toadHangingFromAWomanSBreasts,toad hanging from a woman’s breasts,pad hangt aan de borsten van een vrouw
10867,toadHangingFromTheBreastsOfAWomanOrEatingFemaleGenitalia,toad hanging from the breasts of a woman or eating female genitalia,pad die aan de borsten van een vrouw hangt of vrouwelijke genitaliën eet
10868,tobacco,tobacco,tabak
10869,toBuryAHatchet,to bury a hatchet,een strijdbijl begraven
10870,toBuryATomahawk,to bury a tomahawk,een tomahawk begraven
10871,togavirilis,toga virilis,toga virilis
10872,tomahawk,tomahawk,tomahawk
10873,tomb,tomb,graftombe
10874,tombShapedAltar,tomb-shaped altar,grafvormig altaar
10875,tombShapedLikeABeehive,tomb shaped like a beehive,graf in de vorm van een bijenkorf
10876,tongs,tongs,tang
10877,utah,Utah,Utah
10878,paleBlue,pale blue,lichtblauw
10879,paleGray,pale gray,lichtgrijs
